Start,Finish,Steps (count)
11/5/16 0:00,12/5/16 0:00,7797
12/5/16 0:00,13/5/16 0:00,6808
13/5/16 0:00,14/5/16 0:00,7341
14/5/16 0:00,15/5/16 0:00,3612
15/5/16 0:00,16/5/16 0:00,16412
16/5/16 0:00,17/5/16 0:00,7688
17/5/16 0:00,18/5/16 0:00,10628
18/5/16 0:00,19/5/16 0:00,6334
19/5/16 0:00,20/5/16 0:00,8727
20/5/16 0:00,21/5/16 0:00,10085
21/5/16 0:00,22/5/16 0:00,3276
22/5/16 0:00,23/5/16 0:00,4877
23/5/16 0:00,24/5/16 0:00,11006
24/5/16 0:00,25/5/16 0:00,9664
25/5/16 0:00,26/5/16 0:00,4151
26/5/16 0:00,27/5/16 0:00,13092
27/5/16 0:00,28/5/16 0:00,3627
28/5/16 0:00,29/5/16 0:00,6797
29/5/16 0:00,30/5/16 0:00,22425
30/5/16 0:00,31/5/16 0:00,6225
31/5/16 0:00,1/6/16 0:00,4277
1/6/16 0:00,2/6/16 0:00,8184
2/6/16 0:00,3/6/16 0:00,3442
3/6/16 0:00,4/6/16 0:00,5959
4/6/16 0:00,5/6/16 0:00,3870
5/6/16 0:00,6/6/16 0:00,2091
6/6/16 0:00,7/6/16 0:00,9575
7/6/16 0:00,8/6/16 0:00,3478
8/6/16 0:00,9/6/16 0:00,5066
9/6/16 0:00,10/6/16 0:00,2757
10/6/16 0:00,11/6/16 0:00,4607
11/6/16 0:00,12/6/16 0:00,4766
12/6/16 0:00,13/6/16 0:00,12317
13/6/16 0:00,14/6/16 0:00,2725
14/6/16 0:00,15/6/16 0:00,12883
15/6/16 0:00,16/6/16 0:00,4363
16/6/16 0:00,17/6/16 0:00,4900
17/6/16 0:00,18/6/16 0:00,4083
18/6/16 0:00,19/6/16 0:00,6195
19/6/16 0:00,20/6/16 0:00,11624
20/6/16 0:00,21/6/16 0:00,11209
21/6/16 0:00,22/6/16 0:00,4504
22/6/16 0:00,23/6/16 0:00,12056
23/6/16 0:00,24/6/16 0:00,15782
24/6/16 0:00,25/6/16 0:00,5539
25/6/16 0:00,26/6/16 0:00,7357
26/6/16 0:00,27/6/16 0:00,6987
27/6/16 0:00,28/6/16 0:00,9883
28/6/16 0:00,29/6/16 0:00,9823
29/6/16 0:00,30/6/16 0:00,12185
30/6/16 0:00,1/7/16 0:00,6427
1/7/16 0:00,2/7/16 0:00,7958
2/7/16 0:00,3/7/16 0:00,10652
3/7/16 0:00,4/7/16 0:00,8108
4/7/16 0:00,5/7/16 0:00,11490
5/7/16 0:00,6/7/16 0:00,5061
6/7/16 0:00,7/7/16 0:00,8487
7/7/16 0:00,8/7/16 0:00,6271
8/7/16 0:00,9/7/16 0:00,4040
9/7/16 0:00,10/7/16 0:00,4641
